date,description,category,account,amount,type
2026-01-01,EMPLOYER PAYROLL,Income,Checking – Primary,5200.00,income
2026-01-01,EMPLOYER PAYROLL,Income,Checking – Secondary,3800.00,income
2026-01-03,WHOLE FOODS MARKET,Groceries,Sapphire – Primary,-89.42,expense
2026-01-04,NETFLIX,Subscriptions,Checking – Primary,-15.49,expense
2026-01-05,SHELL GAS STATION,Gas & Fuel,Sapphire – Primary,-58.10,expense
2026-01-06,CHIPOTLE MEXICAN GRILL,Dining Out,Sapphire – Primary,-22.75,expense
2026-01-07,AMAZON.COM,Amazon,Discover IT,-134.99,expense
2026-01-08,CVS PHARMACY,Healthcare,Discover IT,-28.40,expense
2026-01-09,SPOTIFY,Subscriptions,Checking – Primary,-9.99,expense
2026-01-10,TRADER JOES,Groceries,Sapphire – Primary,-72.18,expense
2026-01-11,STARBUCKS,Dining Out,Discover IT,-6.85,expense
2026-01-12,COMCAST INTERNET,Internet & Phone,Checking – Primary,-89.99,expense
2026-01-13,TARGET,Shopping & Retail,Discover IT,-67.34,expense
2026-01-14,COSTCO WHOLESALE,Groceries,Sapphire – Primary,-213.88,expense
2026-01-15,RENT PAYMENT,Housing & Rent,Checking – Primary,-2200.00,expense
2026-01-16,VERIZON WIRELESS,Internet & Phone,Checking – Secondary,-85.00,expense
2026-01-17,CHEVRON,Gas & Fuel,Discover IT,-51.20,expense
2026-01-18,PANERA BREAD,Dining Out,Sapphire – Primary,-18.45,expense
2026-01-19,AMAZON PRIME,Subscriptions,Checking – Primary,-14.99,expense
2026-01-20,WALGREENS,Healthcare,Discover IT,-42.60,expense
2026-01-21,HOME DEPOT,Shopping & Retail,Sapphire – Primary,-156.78,expense
2026-01-22,WELLS FARGO ATM,Cash & ATM,Checking – Primary,-200.00,expense
2026-01-23,PANDA EXPRESS,Dining Out,Discover IT,-14.30,expense
2026-01-24,WHOLE FOODS MARKET,Groceries,Sapphire – Primary,-96.55,expense
2026-01-25,GEICO AUTO INSURANCE,Insurance,Checking – Primary,-187.00,expense
2026-01-26,PLANET FITNESS,Subscriptions,Checking – Secondary,-24.99,expense
2026-01-27,UBER EATS,Dining Out,Sapphire – Primary,-38.90,expense
2026-01-28,AMAZON.COM,Amazon,Discover IT,-79.99,expense
2026-01-29,PETCO,Shopping & Retail,Discover IT,-45.00,expense
2026-01-30,CHARITY NAVIGATOR DONATION,Donations & Charity,Checking – Primary,-50.00,expense
2026-01-31,INTEREST INCOME,Income,Checking – Primary,12.45,income
